7D,BANASHANKARI TTMC,Jeevan Bhimanagara Bus stand,21,16.4,81,AC
7E,JPNagara 6th Phase,Domlur,28,18.9,83,AC
7F,JPNagara 6th Phase,Jeevan Bhimanagara Bus stand,24,18.9,70,AC
BC-7,Jalahalli Cross,Hullala Upanagara,25,13.4,98,AC
BC-7B,8th Mile T Dasarahalli,Byadarahalli,18,10.5,90,AC
BC-7C,Jalahalli Cross,Byadarahalli,15,9.2,101,AC
BC-7E,Tumkur Road 8th Mile,Byadarahalli,23,11.3,85,AC
FDR-7,Chikkallasandra Bus Stand,Chikkallasandra Bus Stand,18,24.7,95,AC
G-7,Kempegowda Bus Station,Janapriya Town Ship,21,18,108,AC
MF-7,Srinivasapura,Kadugodi,25,19.6,118,AC
TR-7,Banashankari 3rd Stage 2nd Phase,Jeevanahalli,30,17,60,AC
BC-8,Jalahalli Cross,Vidyaranyapura,16,11,80,AC
BC-8A,Abbigere Village,Peenya 2nd stage,21,8.3,114,AC
G-8,Nelamangala,MGRoad,19,29.9,102,AC
MBS-8,Kalyananagara Bus Stand,Banashankari Bus Station,30,26.4,105,AC
TR-8,Srinagara,Kurubarahalli,22,17.1,85,AC
BC-9,Byatarayana Pura,NAGAVARA JUNCTION,23,8.3,83,AC
BC-9B,Hebbala Bridge,Avalahalli,27,23.9,100,AC
BC-9D,Hebbala,Bagaluru,28,19,116,AC
G-9,Yelahanka Satelite Town 5th Phase,Maniksha Parade Ground,15,20.6,64,AC
MBS-9,ISRO Layout,Vidyaranyapura,18,32,109,AC
MF-9,Domlur,ITI Gate,18,13.5,90,AC
10A,JP Nagara 3rd Phase,Krishnarajendra Market,26,12.3,107,AC
G-10,Ramakrishna Hegde Nagara,Corporation,21,15,116,AC
JPV-10,Kempegowda Bus Station,Avalahalli BDA Park,25,10.2,89,AC
MF-10,Vijayanagara TTMC,Shivajinagar Bus Station,17,13.8,111,AC
MP-10,Kempegowda Bus Station,Avalahalli BDA Park,21,8.2,102,AC
TR-10,Uttarahalli,Kamalanagar BEML layout,18,24.1,97,AC
FDR-11,Bidadi,Bidadi,15,18,78,AC
FDR-11A,Bidadi,Bidadi,25,18,115,AC
G-11,Bagaluru,MG Road Metro Station,18,25,70,AC
MBS-11,Jambu Savari Dinne,Vishwanatha Nagenahalli,17,27,67,AC
12,BANASHANKARI TTMC,Kempegowda Bus Station,19,10.4,69,NORMAL
12B,Padmanabha Nagara,Kempegowda Bus Station,16,14,64,NORMAL
12D,Kadirenahalli Park,Kempegowda Bus Station,23,11.6,86,NORMAL
12E,Banashankari Bus Station,Kempegowda Bus Station,24,10.4,117,NORMAL
12F,Kempegowda Bus Station,Umara Bhagh Layout,30,12.8,104,NORMAL
G-12,Shanthi Nagara Bus Station,Hosakote Bus Stand,27,28.2,84,NORMAL
MBS-12,Maratahalli Bridge,Annapoorneshwari Nagara,17,29,106,NORMAL
TR-12,Srinagara,YPR RMC,15,18.2,90,NORMAL
13,BANASHANKARI TTMC,Shivajinagar Bus Station,20,11.7,100,NORMAL
13A,Kumaraswamy Layout 2nd Stage,Shivajinagar Bus Station,27,13.9,66,NORMAL
13B,Padmanabha Nagara Rock,Shivajinagar Bus Station,22,15.8,66,NORMAL
13C,Kumaraswamy Layout,Shivajinagar Bus Station,19,14.5,111,NORMAL
13D,Kadirenahalli Park,Shivajinagar Bus Station,24,13,102,NORMAL
13E,Banashankari 3rd Stage 2nd Phase,Shivajinagar Bus Station,28,16.9,63,NORMAL
13F,Chennamma kere Achukattu,Shivajinagar Bus Station,20,16.5,114,NORMAL
13G,Jaraganahalli House Building Co-Op-Society Layout,Shivajinagar Bus Station,23,14.3,78,NORMAL
13H,AGS Layout,Shivajinagar Bus Station,17,20.5,82,NORMAL
13J,Hosakerahalli village,Shivajinagar Bus Station,29,18.7,62,NORMAL
13K,Minaz Nagara,Shivajinagar Bus Station,28,16.6,60,NORMAL
13S,Jaraganahalli House Building Co-Op-Society Layout,Sulthan Palya,30,23.1,116,NORMAL
14B,Chowdeshwari Bus Stand JP Park,Banashankari Bus Station,29,20.9,89,NORMAL
MBS-14,JP Nagara 3rd Phase,Ramakrishna Hegde Nagara,18,23.9,80,NORMAL
15A,Padmanabha Nagara Rock,Krishnarajendra Market,17,8.3,70,NORMAL
15C,Kumaraswamy Layout,Kempegowda Bus Station,25,13.6,111,NORMAL
15E,Kumaraswamy Layout,Kempegowda Bus Station,25,15.2,73,NORMAL
15F,Kumaraswamy Layout 2nd Stage,Krishnarajendra Market,22,11.9,77,NORMAL
15G,Kumaraswamy Layout 2nd Stage,Kempegowda Bus Station,17,15.2,72,NORMAL
15H,Jaraganahalli House Building Co-Op-Society Layout,Kempegowda Bus Station,28,13.1,116,NORMAL
15K,Fayazabad,Shivajinagar Bus Station,17,13.6,118,NORMAL
15L,Minaz Nagara,Kempegowda Bus Station,17,13.7,98,NORMAL
AS-15,Jayanagara Bus Stand,Byatarayana Doddi Cross,27,16.5,113,NORMAL
MBS-17,Jalahalli Cross,Kala Mandir Marathalli,28,29.6,111,NORMAL
18,Jayanagara 9th Block,Kempegowda Bus Station,17,13.5,86,NORMAL
21,Byrasandra,Krishnarajendra Market,15,9,120,NORMAL
MBS-21,Chandapura,MEI Layout,16,43.5,67,NORMAL
22,Byrasandra,Kempegowda Bus Station,20,11.4,81,NORMAL
24A,BTM Layout South,Krishnarajendra Market,24,11.5,99,NORMAL
24E,JP Nagara 3rd Phase,Krishnarajendra Market,15,10.6,69,NORMAL
24F,BTM 16 th Main Hopcoms,Krishnarajendra Market,23,9.8,82,NORMAL
24H,Nayanappa Shettipalya,Krishnarajendra Market,18,11.2,60,NORMAL
24N,BTM Layout South,Krishnarajendra Market,16,12.5,98,NORMAL
MBS-24,Rajarajeshwari Temple,Kadugodi,26,43.6,82,NORMAL
25,BTM Layout,Majestic,24,14.4,107,NORMAL
25A,BTM Layout,Kempegowda Bus Station,28,13,70,NORMAL
25B,BTM Layout South,Kempegowda Bus Station,23,15.4,111,NORMAL
25C,Balajinagara,Kempegowda Bus Station,19,11.1,77,NORMAL
25D,BTM Layout,Kempegowda Bus Station,30,13,92,NORMAL
25H,Nayanappa Shettipalya,Kempegowda Bus Station,24,14.4,105,NORMAL
25N,BTM Layout South,Kempegowda Bus Station,24,13.6,60,NORMAL
25R,BTM Layout,Yeshwanathapura new railway station,29,13.8,69,NORMAL
26,Byrasandra,Kempegowda Bus Station,25,10.4,113,NORMAL
27,BTM Layout South,Shivajinagar Bus Station,24,15.5,88,NORMAL
27A,Nayanappa Shettipalya,Shivajinagar Bus Station,22,14.1,118,NORMAL
27E,JP Nagara 3rd Phase,Shivajinagar Bus Station,30,13.6,68,NORMAL
27N,BTM Layout South,Shivajinagar Bus Station,26,17.8,79,NORMAL
29,JPNagara 6th Phase,Shivajinagar Bus Station,17,13,113,NORMAL
29E,Eliyas Nagar,Shivajinagar Bus Station,25,14.3,77,NORMAL
31,NRColony,Kempegowda Bus Station,19,11.5,98,NORMAL
31A,Thyagaraja Nagara,Kempegowda Bus Station,28,10.8,115,NORMAL
31B,Dattatreya Temple,Kempegowda Bus Station,15,9.7,63,NORMAL
31E,Indira Nursing Home Tyagarajanagar,Kempegowda Bus Station,26,11.9,92,NORMAL
3F-1,Dommasandra,Anekal,23,22.6,115,NORMAL
3F-2,Indlawadi Cross,Adigondana Halli,20,18.9,90,NORMAL
33,Hosakerahalli village,Kempegowda Bus Station,27,12.9,78,NORMAL
3F-3,Handenahalli,Jigani APC Circle,17,21.5,69,NORMAL
34,Hosakerahalli village,Shivajinagar Bus Station,29,13.8,88,NORMAL
34A,Banashankari 3rd Stage 2nd Phase,Shivajinagar Bus Station,28,13,60,NORMAL
34B,Vivekanada Nagara,Shivajinagar Bus Station,26,11.3,101,NORMAL
34C,Muneshwara nagara Kerekodi,Shivajinagar Bus Station,23,13.6,97,NORMAL
34F,Krishnappa Layout,Shivajinagar Bus Station,21,11.3,119,NORMAL
34S,Chennamma kere Achukattu,Shivajinagar Bus Station,27,15.4,111,NORMAL
3F-4,APMC Fruit Market,Shettihalli,20,19,113,NORMAL
35,Kempegowda Swimming Pool,Kempegowda Bus Station,17,9.2,103,NORMAL
3F-5,Sarjapura Bus Stand,Anekal,26,21.9,72,NORMAL
36,Srinagara,Kempegowda Bus Station,24,10.9,88,NORMAL
36A,Avalahalli BDA Park,Kempegowda Bus Station,18,12.2,115,NORMAL
36B,Girinagara Extention,Kempegowda Bus Station,15,13,111,NORMAL
36D,Muneshwara Block,Kempegowda Bus Station,26,12.6,79,NORMAL
36F,Kalidasa Layout,Kempegowda Bus Station,29,12.3,62,NORMAL
36G,Avalahalli New BDA Layout,Kempegowda Bus Station,15,11.7,82,NORMAL
3F-6,Sarjapura Bus Stand,DASANAPURA,20,19.5,110,NORMAL
37,Srinagar,Shivajinagar Bus Station,19,9.5,66,NORMAL
37A,Muneshwara Block,Shivajinagar Bus Station,15,11.5,102,NORMAL
37B,Timber Yard Layout,Shivajinagar Bus Station,19,12.4,79,NORMAL
37D,Kempegowda Swimming Pool,Shivajinagar Bus Station,22,9.33,85,NORMAL
37E,Girinagara Circle,Shivajinagar Bus Station,15,11.2,103,NORMAL
37F,Girinagara Extention,Shivajinagar Bus Station,19,11.6,71,NORMAL
3F-7,NARASAPURA,Samanduru,15,14.8,74,NORMAL
43,Banashankari 3rd Stage 2nd Phase,Kempegowda Bus Station,17,15,66,NORMAL
43A,Vivekanada Nagara,Kempegowda Bus Station,20,12.9,85,NORMAL
43B,Hosakerahalli village,Kempegowda Bus Station,16,13.2,118,NORMAL
43C,Muneshwara nagara Kerekodi,Kempegowda Bus Station,24,16.5,84,NORMAL
43D,Virabhadranagara Cross,Kempegowda Bus Station,28,13.7,70,NORMAL
43E,Banashankari 3rd Stage 2nd Phase,Kempegowda Bus Station,23,12.2,67,NORMAL
43G,Vidya peeta Circle,Kempegowda Bus Station,23,10.9,119,NORMAL
43H,Pramod Layout,Kempegowda Bus Station,27,13.4,73,NORMAL
43J,Krishnappa Layout,Kempegowda Bus Station,29,14.9,88,NORMAL
43M,Haridasa Nagara,Kempegowda Bus Station,27,15.8,112,NORMAL
44,Banashankari 3rd Stage 2nd Phase,RTNagara,15,18.6,104,NORMAL
45,Chennamma kere Achukattu,Krishnarajendra Market,17,9.2,90,NORMAL
45B,Bhuvaneshwari Nagara Mahalakshmi Temple,Kempegowda Bus Station,30,13.2,106,NORMAL
45D,AGS Layout,Kempegowda Bus Station,24,15.6,115,NORMAL
45E,Chennamma kere Achukattu,Kempegowda Bus Station,30,14.4,80,NORMAL
45F,Chennamma kere Achukattu,Kempegowda Bus Station,19,13.4,106,NORMAL
45J,Chennamma kere Achukattu,City Railway Station,26,15.6,76,NORMAL
45K,Dattatraya Nagara Temple,Kempegowda Bus Station,15,13.7,74,NORMAL
MP-45F,Chennamma kere Achukattu,Kempegowda Bus Station,16,13.4,93,NORMAL
47,Padmanabha Nagara Rock,Yeshwanathapura new railway station,22,22.24,69,NORMAL
49,Brudavana Nagara Jinke vana,Kempegowda Bus Station,21,8.9,103,NORMAL
49A,Brudavana Nagara Jinke vana,Brudavana Nagara Jinke vana,29,10.9,92,NORMAL
50,Brundavananagara Jinke Park,Shivajinagar Bus Station,25,12,86,NORMAL
50A,Brudavana Nagara Jinke vana,Shivajinagar Bus Station,23,9.4,67,NORMAL
52,Raghavendra Colony,Yeshwanthpura,28,13.6,85,NORMAL
52E,Raghavendra Colony,Yeshwanthpura Railway Station,28,14.4,75,NORMAL
54E,Vinayaka Nagara,Kempegowda Bus Station,18,8.5,90,NORMAL
55B,Kempapura Agrahara,Krishnarajendra Market,20,4.1,73,NORMAL
56,Jagajeevanram Nagara,Kempegowda Bus Station,24,7.9,98,NORMAL
58,Timber Yard Layout,Kempegowda Bus Station,29,9.4,117,NORMAL
59A,Saraswathi Nagara Vijayanagara,Krishnarajendra Market,19,8.5,75,NORMAL
59B,Marenahalli,Krishnarajendra Market,28,7.86,99,NORMAL
59D,Nayandahalli Railway Gate,Kempegowda Bus Station,28,13,88,NORMAL
59F,Chandra Layout 1st Stage,Krishnarajendra Market,22,9.5,71,NORMAL
60A,Vijayanagara TTMC,Jayanagara 9th Block,27,14.5,101,NORMAL
60B,Chandra Layout,JP Nagara 3rd Phase,23,19.2,70,NORMAL
60C,JPNagara 6th Phase,Chandra Layout,20,18,78,NORMAL
60E,Vijayanagara TTMC,BTM Layout,23,16.4,107,NORMAL
60F,Chennamma kere Achukattu,Basaveshwara Nagara,18,17.1,120,NORMAL
60J,Koramangala,GKW Layout,21,20.4,104,NORMAL
60L,Vijayanagara TTMC,Jaibheemanagara,24,16.5,81,NORMAL
MP-60A,Vijayanagara TTMC,Jayanagara 9th Block,22,13.7,106,NORMAL
61,Kempegowda Bus Station,Vijayanagara TTMC,19,6.2,101,NORMAL
61A,Kempegowda Bus Station,Chandra Layout,27,9.3,106,NORMAL
61B,Kempegowda Bus Station,Saraswathi Nagara Vijayanagara,17,11.6,114,NORMAL
61C,Kempegowda Bus Station,BCC Layout,17,8.8,61,NORMAL
61E,Kempegowda Bus Station,Vijayanagara TTMC,25,6.7,94,NORMAL
61F,Kempegowda Bus Station,GKW Layout,22,7.9,105,NORMAL
61G,Kempegowda Bus Station,Chandra Layout,25,13.6,72,NORMAL
61J,Kempegowda Bus Station,Chandra Layout 1st Stage,23,9.6,82,NORMAL
61M,Kempegowda Bus Station,Vidyagiri Layout,30,9.6,106,NORMAL
63,Vijayanagara TTMC,Shivajinagar Bus Station,26,14.6,77,NORMAL
63B,GKW Layout,Shivajinagar Bus Station,26,15.5,60,NORMAL
63E,Hampinagara RPC Layout,Shivajinagar Bus Station,26,16.63,68,NORMAL
65B,Basaveshwara Nagara,BANASHANKARI TTMC,24,19.2,93,NORMAL
68,Basaveshwara Nagara,Shivajinagar Bus Station,19,13.2,69,NORMAL
74,Rajaji Nagara Ramamandira,Shivajinagar Bus Station,15,10.7,85,NORMAL
75B,Hampinagara RPC Layout,Malleshwaram 18th Cross,24,12,94,NORMAL
75C,Vijayanagara TTMC,Chowdeshwari Bus Stand JP Park,27,14.3,78,NORMAL
75D,Vinayaka Nagara Nayandahalli,Chowdeshwari Bus Stand JP Park,26,18.8,60,NORMAL
75E,GKW Layout,Malleshwaram 18th Cross,19,10.9,98,NORMAL
75H,MCTC Bus Stand,Malleshwaram 18th Cross,23,12.4,119,NORMAL
77,Mahalakshmi Layout,Krishnarajendra Market,17,12.01,62,NORMAL
77B,Mahalakshmi Layout,NRColony,21,13.5,105,NORMAL
77C,Nandhini Layout Bus Station,NRColony,27,15.5,120,NORMAL
77D,Vidhanasoudha Layout,Krishnarajendra Market,24,14.6,114,NORMAL
77E,Nandhini Layout Bus Station,Krishnarajendra Market,26,14.6,101,NORMAL
77F,Jai Bhuvaneshwari Nagara,Krishnarajendra Market,18,16.9,114,NORMAL
78,Rajaji Nagar 1st Block,Kempegowda Bus Station,28,8.2,92,NORMAL
78A,Iskcon Temple,Kempegowda Bus Station,30,6.6,75,NORMAL
79A,Yeshwanthpura TTMC,Shivajinagar Bus Station,19,12.5,117,NORMAL
79B,Bandi Reddy Circle,Shivajinagar Bus Station,15,8.5,79,NORMAL
79D,Mahalakshmi Layout,Shivajinagar Bus Station,17,16.7,73,NORMAL
79E,Nandhini Layout Bus Station,Shivajinagar Bus Station,18,12.8,106,NORMAL
79F,Jai Bhuvaneshwari Nagara,Shivajinagar Bus Station,21,14.8,75,NORMAL
79G,Vidhanasoudha Layout,Shivajinagar Bus Station,19,15.6,75,NORMAL
79H,Laggere Arch,Shivajinagar Bus Station,16,15.5,68,NORMAL
79J,Geleyara Balaga AGB Layout,Shivajinagar Bus Station,15,11.5,76,NORMAL
79K,Kurubarahalli,Shivajinagar Bus Station,19,12.5,60,NORMAL
80,Mahalakshmi Layout,Kempegowda Bus Station,29,7.2,72,NORMAL
80A,Nandhini Layout Bus Station,Kempegowda Bus Station,30,9,85,NORMAL
80B,Jai Maruthi Nagara,Kempegowda Bus Station,25,9.1,82,NORMAL
80C,Goragunte Palya,Kempegowda Bus Station,20,13,103,NORMAL
80D,Ravi Badavane,Kempegowda Bus Station,21,9.6,68,NORMAL
80E,Krishnananda Nagara,Kempegowda Bus Station,24,12.5,86,NORMAL
80F,Jai Bhuvaneshwari Nagara,Kempegowda Bus Station,25,10.5,82,NORMAL
80G,Laggere Arch,Kempegowda Bus Station,21,13.5,86,NORMAL
80H,Nandhini Layout Bus Station,City Railway Station,20,10.4,69,NORMAL
80K,Sakammana Badavane,Kempegowda Bus Station,25,10.5,108,NORMAL
80L,Ashraya Nagara,Kempegowda Bus Station,20,12.5,73,NORMAL
80R,Rajkumar Samadhi,Kempegowda Bus Station,16,10.2,114,AC
82,Kempegowda Bus Station,Kempegowda Bus Station,17,14.5,106,AC
82A,Kempegowda Bus Station,Kempegowda Bus Station,26,14.5,109,AC
82AR,Kempegowda Bus Station,Yeshwanthpura Railway Station,19,8.5,117,AC
82B,Kempegowda Bus Station,Government Soap Factory,17,7,94,AC
82C,Kempegowda Bus Station,Yeshwanthpura,20,7.6,90,AC
83,Bandi Reddy Circle,Krishnarajendra Market,15,8.3,110,AC
83C,Kempegowda Bus Station,Yeshwanthpura Railway Station,15,7.2,106,AC
83D,Bandi Reddy Circle,Krishnarajendra Market,25,7.8,108,AC
84,Laggere Bridge,Krishnarajendra Market,18,13.8,114,AC
86,KHB Colony,Kempegowda Bus Station,25,6.5,88,AC
86E,KHB Colony,Jayanagara 9th Block,17,17.6,92,AC
87,Hampinagara RPC Layout,Kempegowda Bus Station,23,7.1,106,AC
87A,Hampinagara RPC Layout,Kempegowda Bus Station,27,12.8,69,AC
87B,Nayandahalli Railway Gate,Kempegowda Bus Station,16,10.2,95,AC
87C,Hampinagara RPC Layout,Kempegowda Bus Station,24,7.8,108,AC
87S,Hampinagara RPC Layout,Shivajinagar Bus Station,22,12.8,104,AC
88,Basaveshwara Nagara,Kempegowda Bus Station,30,9.5,66,AC
88A,Basaveshwara Nagara 3rd Stage,Kempegowda Bus Station,29,6.5,78,AC
88E,Basaveshwara Nagara 3rd Stage,Krishnarajendra Market,22,10.1,101,AC
89,Kurubarahalli,Kempegowda Bus Station,15,8.2,107,AC
89A,Cauvery Nagar,Kempegowda Bus Station,30,7.9,62,AC
89B,Geleyara Balaga AGB Layout,Kempegowda Bus Station,30,8.2,87,AC
89C,Kurubarahalli,Kempegowda Bus Station,16,8.2,114,AC
89D,Kurubarahalli JC Nagara,Kempegowda Bus Station,21,8.8,109,AC
89E,Cauvery Nagar,Kempegowda Bus Station,24,8.8,111,AC
89F,Geleyara Balaga AGB Layout,Kempegowda Bus Station,22,7.5,80,AC
89H,Cauvery Nagar,Krishnarajendra Market,24,11.8,116,AC
PK-89A,Kempegowda Bus Station,Cauvery Nagar,30,7.9,96,AC
90E,Yeshwanthpura Railway Station,Kempegowda Bus Station,20,7.5,60,AC
92E,Yeshwanthpura Railway Station,Shivajinagar Bus Station,15,10.9,62,AC
94C,Mohan Kumar Nagara,Shivajinagar Bus Station,25,12.5,118,AC
94D,Chowdeshwari Bus Stand JP Park,Shivajinagar Bus Station,17,10.2,63,AC
94E,Yeshwanthpura Railway Station,Shivajinagar Bus Station,23,10,96,AC
95,Kamalanagar BEML layout,Shivajinagar Bus Station,22,12.6,60,AC
95A,Kamalanagar BEML layout,Krishnarajendra Market,24,14.7,77,AC
95B,Shankararnag Bus Stop,Krishnarajendra Market,19,14.3,94,AC
95G,Shankararnag Bus Stop,Shivajinagar Bus Station,22,12.1,94,AC
96,Kempegowda Bus Station,Kempegowda Bus Station,19,14.7,66,AC
96A,Kempegowda Bus Station,Kempegowda Bus Station,16,14.7,74,AC
96AS,Basaveshwara Nagara,Shanthinagar TTMC,15,13.5,115,AC
96B,Kamalanagar BEML layout,Kempegowda Bus Station,21,7.5,74,AC
96C,Shankararnag Bus Stop,Kempegowda Bus Station,28,10.8,111,AC
96E,Kamalanagar BEML layout,Kempegowda Bus Station,24,13,60,AC
96G,Shankararnag Bus Stop,Kempegowda Bus Station,22,14.7,119,AC
96H,Shankararnag Bus Stop,Kempegowda Bus Station,16,7.7,120,AC
MP-96,Kempegowda Bus Station,Kempegowda Bus Station,19,14.8,67,AC
98C,Patalappa Layout,Kempegowda Bus Station,19,11.6,62,AC
98E,Kempegowda Bus Station,Laxmidevi Nagar,19,14.8,99,AC
99A,Kempegowda Bus Station,Mohan Kumar Nagara,28,11,68,AC
99B,Kempegowda Bus Station,Chowdeshwari Bus Stand JP Park,19,10,74,AC
100E,Sadhashivanagar,BTM Layout,16,21.3,120,AC
104,Sadhashivanagar,Kempegowda Bus Station,17,5.9,103,AC
108,Anandanagar,Krishnarajendra Market,15,17.5,116,AC
111,Kaval Byrasandra,Krishnarajendra Market,18,19.7,92,AC
111A,Kaval Byrasandra,Krishnarajendra Market,30,10.8,65,AC
111C,Kaval Byrasandra,Kempegowda Bus Station,20,11.7,68,AC
111E,Kaval Byrasandra,Jagajeevanram Nagara,28,16.6,86,AC
112,Kaval Byrasandra,Shivajinagar Bus Station,20,9.8,69,AC
112A,Kaval Byrasandra,Shivajinagar Bus Station,22,7.4,72,AC
113,Pillanna Garden,Shivajinagar Bus Station,18,9.8,72,AC
114,Sulthan Palya,Krishnarajendra Market,16,12.2,101,AC
114A,Sulthan Palya,Shivajinagar Bus Station,16,8.8,66,AC
114B,Manorayana Palya,Kempegowda Bus Station,21,11.9,120,AC
114C,Sulthan Palya,Kempegowda Bus Station,16,11.8,97,AC
114D,Manorayana Palya,Shivajinagar Bus Station,30,9.4,65,AC
114G,Manorayana Palya,Krishnarajendra Market,27,12.8,106,AC
119,Chinnappana Garden,Shivajinagar Bus Station,15,4.9,110,AC
120,Yeshwanathapura new railway station,Lingarajapuram,25,12.8,101,AC
121A,Timber Yard Layout,Shivajinagar Bus Station,17,10.9,96,AC
125E,Marappa Garden,Shivajinagar Bus Station,24,4.9,106,AC
126,Jeevanahalli,Kempegowda Bus Station,22,11.8,103,AC
126A,Jeevanahalli,Krishnarajendra Market,27,10.8,95,AC
127,Jeevanahalli,Shivajinagar Bus Station,15,6.5,110,AC
129,Shivajinagar Bus Station,Kempegowda Bus Station,17,5.7,86,AC
129C,Kempegowda Bus Station,Vidhana Soudha,24,3.15,110,AC
132,Domlur TTMC Bus Stand,Shivajinagar Bus Station,28,8.48,86,AC
133E,Domlur TTMC Bus Stand,MCTC Bus Stand,27,17.6,114,AC
138,Jeevan Bhimanagara Bus stand,Kempegowda Bus Station,25,13.1,64,AC
138A,Jeevan Bhimanagara Bus stand,City Railway Station,18,14.5,113,AC
139,Jeevan Bhimanagara Bus stand,Shivajinagar Bus Station,25,8.8,72,AC
139A,HAL Main Gate,Devasandra Chikkamaranahalli,30,19.6,113,AC
140,Vivekanagara,Krishnarajendra Market,24,7.1,112,AC
140A,Srinivagilu,Krishnarajendra Market,19,9.4,80,AC
140B,Karnataka Housing Complex,Krishnarajendra Market,28,8.5,77,AC
140E,Ejipura,Krishnarajendra Market,24,8.5,72,AC
141,Vivekanagara,Shivajinagar Bus Station,15,9.2,118,AC
141A,NDDA Koramangala,Shivajinagar Bus Station,15,9.2,75,AC
141E,Srinivagilu,Shivajinagar Bus Station,23,9.6,95,AC
143,Neela sandra,Krishnarajendra Market,25,7,96,AC
143A,Neela sandra,Jagajeevanram Nagara,28,10.2,60,AC
143E,Neelasandra Rose Garden,Krishnarajendra Market,22,7.8,92,AC
144,Neelasandra,Shivajinagar Bus Station,25,5.4,67,AC
144A,Gajendra Nagara,Shivajinagar Bus Station,18,6.3,62,AC
144E,Neelasandra Rose Garden,Shivajinagar Bus Station,24,8,113,AC
144G,Neelasandra,Sulthan Palya,26,14.2,103,AC
144H,Nandhini Layout Bus Station,Neelasandra,16,17.2,89,AC
144K,Neelasandra,Kaval Byrasandra,16,15.6,76,AC
145,Neela sandra,Kempegowda Bus Station,27,9.1,81,AC
146,Vivekanagara,Kempegowda Bus Station,18,11.6,107,AC
146B,Srinivagilu,Kempegowda Bus Station,22,12.4,63,AC
146E,Ejipura,Kempegowda Bus Station,28,11.2,95,AC
152,Neelasandra Rose Garden,Pillanna Garden,20,12.3,106,AC
154,Shivajinagar Bus Station,Vinayaka Nagara,15,9.5,81,AC
155,Shivajinagar Bus Station,Jagajeevanram Nagara,28,8.5,119,AC
155A,Shivajinagar Bus Station,KP Agrahara 16th cross,30,9.7,60,AC
161B,Jaibheemanagara,Shivajinagar Bus Station,28,10.9,120,AC
161C,Old Gurrappana Palya,Shivajinagar Bus Station,16,12.5,79,AC
161D,BTM Layout,Shivajinagar Bus Station,15,12.6,83,AC
163A,Koramangala,Krishnarajendra Market,16,11.6,115,AC
163E,Ejipura,AGS Layout,23,22,64,AC
164,BTM Layout,Shivajinagar Bus Station,30,14.8,117,AC
165E,Adugodi Police Quarters,Kempegowda Bus Station,19,10.2,61,AC
166,Koramangala,Shivajinagar Bus Station,25,12.5,111,AC
